URL ,Category ID
google.com/a/,62,4,52
google.com/adplanner/,7
google.com/ads/,76
google.com/adsense/,76		
google.com/edu/,57		
google.com/finance/,15,53
plus.google.com/,15
plus.google.com/favicon.ico,15
plus.google.com/talkgadget/auth/,10
translate.google.com/about/,6
bing.com/maps/,57
bing.com/maps/default.aspx,15
bing.com/shopping/,13
bing.com/social/,56
bing.com/translator/,6
bing.com/travel/,4
bing.com/video/search/,56
lexicool.com/,6
proz.com/forum/,6
proz.com/glossary-translations/,6
proz.com/join/individual/,6
proz.com/kudoz/,6
translated.net/,68
worldlingo.com/,6
worldlingo.com/products_services/,32
translatorscafe.com/,6
translatorscafe.com/cafe/MegaBBS/,7
proz.com/,6,52
translatorscafe.com/cafe/units-con,8
translatorscafe.com/tcterms/,6,57
translatorscafe.com/Cafe/,68
bharatmovies.com/,8
bharatmovies.com/hindi/watch/,56
bharatmovies.com/malayalam/,56
bharatmovies.com/malayalam-movies.htm,56
bharatmovies.com/marathi/watch/,56
bharatmovies.com/stars/,56
bharatmovies.com/tamil/,56
brothersoft.com/,62
freemake.com/,58
torrentsgalaxy.com/,19
torrentz.com/,58
ziddu.com/,8
ziddu.com/js/jquery.sticky.js,77
zedge.net/,58
zedge.net/download/,62
zedge.net/favicon.ico,62
zedge.net/log-in/,62
zedge.net/phone-index/,62
zedge.net/ringtones/,62
zedge.net/themes/,62
zedge.net/wallpapers/,62
qshare.com/,58
apniisp.com/,8
dishant.com/,0
downloadming.com/,39,37,49
zeekhanakhazana.com/,40,17
indianfoodforever.com/,17
indianfoodforever.com/desserts/,35
vahrehvah.com/,17
tarladalal.com/,17
sanjeevkapoor.com/,17
simpleindianrecipes.com/,35
vegrecipesofindia.com/,35,25,17
foodfood.com/,56,17
bawarchi.com/,17
titbit.com/,48,17
titbitspices.com/,17
khaugalideals.com/,13
dominos.co.in/,17
pizzahut.co.in/,17
kfc.co.in/,17,17
papajohnspizza.in/,1900000000000000000000000000000
smokinjoespizza.com/,17
subway.co.in/,17
yatra.com/,4
happytrips.com/,4
irctctourism.com/,4
tripadvisor.com/,4
tripadvisor.com/ForumHome/,4,52
trivago.in/,4
trivago.in/search/v9_03_1ac_cache/,
traveloearth.com/,4
makemytrip.com/,4
cleartrip.com/,4
expedia.co.in/,4
goibibo.com/,4
veenaworld.com/,4
kesari.in/,4
thomascook.in/,4
agoda.com/,4
travelguru.com/,4
indiamike.com/,4,52
indiamike.com/india/,52
indiamike.com/india-hotels/,4
indiamike.com/india-search/,52,15
indiamike.com/photopost/,52
expedia.co.in/,4
ixigo.com/,4
incredibleindia.org/,4
holidaymakers.in/,4
